,ID,Listing Name,Display Name,Sector,Brief Description,Address,Website,Phone,Social Media 1,Social Media 1 Type,Social Media 2,Social Media 2 Type,Social Media 3,Social Media 3 Type,Status,lon,lat
20,#NAME?,"1100 Block Bergen Street Community Garden
","1100 Block Bergen Street Community Garden
",Gardens,"Brooklyn Queens Land Trust member garden - 1100 Block Bergen Street Community Garden is a vibrant green space that has functioned as a neighborhood hub since 1980. The garden features individual garden plots, a large gazebo, colorful and diverse ornamental plantings, and flexible open space and seating for events and gatherings. Originally built on a combination of City-owned and private land, 1100 Block Bergen Street Community Garden was purchased by the Trust for Public Land and transferred to the garden group in 1989. In 2015, the garden deed was transferred to BQLT as a way to ensure that the space will remain a garden in perpetuity","1107 Bergen Street, Brooklyn, Crown Heights, NY 11216",https://www.facebook.com/1100-Bergen-Street-Community-Garden-118493218181017/,,,,,,,,,-73.949151,40.676248
21,#NAME?,"227th Street Cambria Heights Community Garden
","227th Street Cambria Heights Community Garden
",Gardens,Brooklyn Queens Land Trust member garden,"116-98 227th St, Cambria Heights, NY 11411",https://bqlt.org/garden/227th-street-cambria-heights-community-garden,,,,,,,,,-73.7342,40.693406
22,#NAME?,"Back to Eden Community Garden
","Back to Eden Community Garden
",Gardens,"Brooklyn Queens Land Trust member garden - Back to Eden Community Garden has an inspirational history. Founding members Ella and Percy Heron worked in the garden for over 20 years, devoting themselves to improving their community’s quality of life. The garden, formerly known as The Garden of Eden, was renamed Back to Eden Community Garden in their honor. Since reopening in 2004, this beloved green space has continued to be cared for by dedicated members of the surrounding community.","144-29 Lakewood Avenue, Queens, Jamaica, NY 11435",https://bqlt.org/garden/back-to-eden-community-garden,,,,,,,,,-73.803462,40.690065
23,#NAME?,"Central Bainbridge St. Community Garden
","Central Bainbridge St. Community Garden
",Gardens,"Brooklyn Queens Land Trust member garden - Once a debris-ridden lot littered with the remains of two demolished buildings, eight women volunteers from the neighborhood block association began clearing the land in 1978 to create Central Bainbridge Community Garden. The garden now boasts vibrant green vegetable plots, a gazebo, and shaded seating area where local residents gather for cookouts and other social events. The garden also regularly hosts visits from students from P.S. 40.","277-279 Bainbridge Street, Brooklyn, Bed-Stuy, 11233",https://bqlt.org/garden/central-bainbridge-st-community-garden,,,,,,,,,-73.925649,40.6818
24,#NAME?,"Classon Ful-Gate Block Association Garden
","Classon Ful-Gate Block Association Garden
",Gardens,"Brooklyn Queens Land Trust member garden - Back in 1968, a young man name Joe Robinson took on the task of transforming a debris-filled lot into a vegetable garden. Together with Willie Ford and Leroy and Gloria Fashion, he worked tirelessly to create a beautiful space that the community has cherished for half a century. The garden became a member of Green Thumb in 1978 and the Classon Ful-Gate Block Association was formed the following year. In 1983, the garden was protected by the Land Trust Group and, in 1999, the garden was further protected by the Trust for Public Land. A large mural on the garden’s back wall pays homage to past and present residents of the block. A memorial garden featuring newly planted trees with the names of senior garden members and those who have passed on was built to remember those who worked so hard to bring this garden to life.","472-474 Classon Avenue, Brooklyn, Clinton Hill, NY 11238",https://bqlt.org/garden/classon-ful-gate-block-association-garden,,,,,,,,,-73.95928,40.683961
25,#NAME?,"Clifton Place Block Association Garden
","Clifton Place Block Association Garden
",Gardens,Brooklyn Queens Land Trust member garden - The purpose of the Clifton Place Garden is to create a green space that satisfies the aesthetic and planting needs of gardeners and would-be gardeners in the surrounding community. It offers a venue for community members to participate in something civic and to create something beautiful. It empowers them to directly affect their surroundings.,"289 Grand Avenue, Brooklyn, Clinton Hill, NY 11238",https://cliftongarden.wordpress.com/,,,,,,,,,-73.962364,40.687622
26,#NAME?,"Concerned Citizens of Grove St. Community Garden
","Concerned Citizens of Grove St. Community Garden
",Gardens,Brooklyn Queens Land Trust member garden.,"72 Grove Street, Brooklyn, Bushwick, NY 11221",https://bqlt.org/garden/concerned-citizens-of-grove-street,,,,,,,,,-73.921527,40.692213
27,#NAME?,"Contented Hart Garden
","Contented Hart Garden
",Gardens,"Brooklyn Queens Land Trust member garden - Contented Garden was originally started in 1965 by John Stewart, the father of Rosalyn Forbes. Rosalyn is a current member of the community. Contented Garden was renamed Contented Hart Garden in honor of Qwendolyn Hart, its founder. In 2002, Edna Wade joined the garden and along with the garden group worked tirelessly to transform the garden and area into the beautiful space that exists today.","1475 Bushwick Avenue, Brooklyn, Bushwick, NY, 11207",https://bqlt.org/garden/contented-hart-garden,,,,,,,,,-73.907197,40.683583
28,#NAME?,"David Foulke Memorial Garden
","David Foulke Memorial Garden
",Gardens,"Brooklyn Queens Land Trust member garden - In 1971, this vacant lot was a dumping ground for garbage and an illegal parking lot. The 200 Bergen Street Block Association organized local residents to clean up the site and create a neighborhood pocket park, which at first consisted of a modest vegetable garden. In 1980, working with the Magnolia Tree Earth Center of Bedford Stuyvesant, the association and residents created the garden’s current landscaped design, which features a pathway and seating area surrounded by trees and shrubs. The garden was transformed into the beautiful flower garden and woodland area it is today by neighborhood resident David Foulke. For years, David organized events that ranged from children's parades to October festivals to Christmas caroling. In 1994, the garden was named in his honor. In addition, a dogwood tree was planted to commemorate Noel Pointer, a gifted violinist who often serenaded gardeners. The local community continues to carry on the legacy the garden’s founders and enjoy the tranquil green space.","248-250 Bergen Street, Brooklyn, Boerum Hill, NY, 11217",http://bergenstgarden.blogspot.com/,,,,,,,,,-73.984384,40.684045
29,#NAME?,"Dunton Civic Assoc. Community Garden
","Dunton Civic Assoc. Community Garden
",Gardens,"Brooklyn Queens Land Trust member garden - In 1984, residents of all ages from the Dunton Block and Civic Association began working to turn what was then a vacant lot into a beautiful community garden. The garden now serves as a town square for the area, providing a space for neighbors of all ages to relax and socialize.
","143-01 Shore Avenue, Queens, Jamaica, NY, 11435",https://duntoncivic.wixsite.com/garden,,,,,,,,,-73.8058,40.689544
30,#NAME?,"Euclid/Pine St. Block Assoc. Garden
","Euclid/Pine St. Block Assoc. Garden
",Gardens,"Brooklyn Queens Land Trust member garden - In 1980, neighbors began organizing to turn this small corner lot in East New York into a thriving community farm. Today, the garden boasts harvests of fresh vegetables, fruits, and flowers. Many of the elders who care for the space have lived in the neighborhood since they were children. Children from local school PS 242 pay visits to the garden to help with cleanup and to learn about planting vegetables and fruits.","1308 Dumont Avenue, Brooklyn East New York, NY, 11208",https://bqlt.org/garden/euclid-pine-street-block-association-garden,,,,,,,,,-73.869717,40.669736
31,#NAME?,"Garden of Angels
","Garden of Angels
",Gardens,"Brooklyn Queens Land Trust member garden - Garden of Angels is a small vegetable and flower garden started by the Greene Avenue Block Association in 1980. Originally called the Greene Block Association Garden, Garden of Angels produces food that is shared with local senior citizens and the homeless. The garden provides space for recreation, meetings, and social gatherings, and brings tremendous beauty to this immaculate block of brownstones. Garden of Angels is one of the oldest, consistently active community gardens in Bedford-Stuyvesant.","978 Greene Avenue, Brooklyn, Bed-Stuy, NY 11221",https://bqlt.org/garden/garden-of-angels,,,,,,,,,-73.928588,40.690717
32,#NAME?,"Greene Garden
","Greene Garden
",Gardens,"Brooklyn Queens Land Trust member garden - Greene Garden is a member-run community garden in Fort Greene, at the corner of Dekalb and South Portland. We welcome new members, and visitors and neighbors are welcome whenever the garden is open.
Our garden is a community effort. We share stewardship and responsibility for the garden – including clean up and planting, working with school groups, and arts and music programming for everyone to enjoy.","2 South Portland Avenue, Brooklyn, Fort Greene, NY 11217","Website: https://greenegardenblog.wordpress.com/
Instagram: https://www.instagram.com/greenegardenbrooklyn/",,,,,,,,,-73.975314,40.689507
33,#NAME?,Heaven's Gate Garden,Heaven's Gate Garden,Gardens,"Brooklyn Queens Land Trust member garden - Once a dumping ground, Heaven’s Gate Garden is now alive with plants, film screenings, and more.","169-171 Hart Street, Brooklyn, Bed-Stuy, NY, 11206","Instagram: https://www.instagram.com/heavensgategarden/
Facebook: https://www.facebook.com/hggardenbrooklyn/",,,,,,,,,-73.94457,40.693842
34,#NAME?,Hollenback Community Garden,Hollenback Community Garden,Gardens,"Brooklyn Queens Land Trust member garden - The Hollenback Community Garden is over 30 years old and rose from the ashes of the Hollenback family mansion. In 1979, the more than 100-year-old mansion had fallen into a dilapidated state. One day, a fire started and the mansion burned to the ground. The lot--abandoned and filled with charred rubble--was repossessed by the city. A year after the fire, community residents came together with GreenThumb to create a community garden at the site. The founders cleared the lot, built paths and beds, and planted trees, bushes, flowers, and vegetables. They established a program to work with physically disabled children from neighboring school, P.S. 11. As many of the garden's original members have since passed on, Pink Rose Bushes were planted at the front of the garden as memorials to their dedication and vision. The garden is maintained by the hard work and democratic decision-making of approximately 40 garden members.","460 Washington Avenue, Brooklyn, Clinton Hill, NY, 11238",Facebook: https://www.facebook.com/hollenbackcommunitygarden,,,,,,,,,-73.965509,40.685152
35,#NAME?,John the Baptist Community Garden,John the Baptist Community Garden,Gardens,"Brooklyn Queens Land Trust member garden - In 1964, an abandoned lot was adopted by a diverse group of neighbors who shared a common dream of transforming an eyesore in their community into a space of beauty and pride. Over the past half century, thanks to the collective community effort, the space has served as a place for children to play, seniors to gather, and community members to garden. It also serves as a backdrop for performances. Over the years, the garden has been utilized by students from P.S. 81 and 274, hosted performances by the Traveling Theatre of Puerto Rico, and hosted volunteers from the Lucille Rose Manor Senior Citizen Society, the Juvenile Delinquency Protection Program, and a methadone program for recovering addicts.","10 Stuyvesant Avenue, Brooklyn, Bed-Stuy, NY 11221",https://bqlt.org/garden/john-the-baptist-community-garden,,,,,,,,,-73.934981,40.696385
36,#NAME?,La Finca Garden,La Finca Garden,Gardens,"Brooklyn Queens Land Trust member garden - Started in 1986, La Finca Garden is located on a narrow lot on a commercial street in Bushwick. The garden has brightly painted wooden fences and gazebos, a large decorative planting area in the front, and raised beds for vegetables in the back. A permanent barbeque pit for roasting whole pigs, which are shared with neighbors during summer celebrations, was built by gardeners. As the cost of living in Bushwick increases, this space remains a critical community space for neighbors to gather and socialize.","1036 Flushing Avenue, Brooklyn, East Williamsburg, NY 11237",https://bqlt.org/garden/la-finca-garden,,,,,,,,,-73.929518,40.704166
37,#NAME?,Lincoln-Berkeley Community Garden,Lincoln-Berkeley Community Garden,Gardens,"Brooklyn Queens Land Trust member garden - Lincoln Berkeley Community Garden was founded in 1977 as a small shaded woodland retreat, a green space nestled in the busy urban environment. Over the years it has evolved to be a community hub for the residents of Park Slope. Today, the garden has matured into a small oasis of tranquility, a peaceful and restful place where you can relax, enjoy nature and escape from the daily grind. The garden has a strong membership and it’s a community hangout, with regular events, workshops and fundraisers for adults and children to enjoy. Lincoln Berkeley Community Garden has a composting program to enrich and maintain the soil of its garden, making it self sustained.","20 Lincoln Place, Brooklyn, Park Slope, NY 11217",https://bqlt.org/garden/lincoln-berkeley-community-garden,,,,,,,,,-73.978828,40.677285
38,#NAME?,"Malcolm X Garden
","Malcolm X Garden
",Gardens,Brooklyn Queens Land Trust member garden.,"33-02 112th Street & 111-26 Northern Boulevard,
Queens, North Corona, NY 11368",https://bqlt.org/garden/malcolm-x-garden,,,,,,,,,-73.857519,40.757757
39,#NAME?,Mama Dee's Garden,Mama Dee's Garden,Gardens,"Brooklyn Queens Land Trust member garden - This garden was started in 1994 by two volunteers from the neighborhood. To attract more members, the garden was revitalized in 2001. The garden has raised beds for growing vegetables, as well as flower beds and trees. The garden hosts summer picnics and barbecues, and groups of neighborhood children can often be seen helping with garden maintenance.","1397 Bedford Avenue, Brooklyn, Crown Heights, NY 11216",https://bqlt.org/garden/mama-dees,,,,,,,,,-73.95308,40.675238
40,#NAME?,"McIntosh Neighborhood Association Garden
","McIntosh Neighborhood Association Garden
",Gardens,"Brooklyn Queens Land Trust member garden - Started in 1978, McIntosh Neighborhood Association Garden has over 20 raised beds for growing herbs and vegetables. This triangle-shaped garden is also filled with flowers, fruit trees (fig, peach, & paw-paw), and mature trees. The garden has a small, but mighty group of gardeners and hosts NY Cares volunteers and youth volunteers like the Veggie Nuggets' Green Team/Climate activists. Neighbors of many different ethnic backgrounds and ages meet here, share knowledge brought with them from their diverse homelands.","25-16 McIntosh St. & 25-19 100th St., Queens, East Elmhurst, 11369",https://bqlt.org/garden/mcintosh-neighborhood-garden,,,,,,,,,-73.869591,40.764331
41,#NAME?,"Merrick-Marsden Neighbors Assoc. Garden II
","Merrick-Marsden Neighbors Assoc. Garden II
",Gardens,Brooklyn Queens Land Trust member garden,"170-50 Foch Boulevard, Queens, St.Albans, NY 11434 (117-02 Merrick Boulevard, Queens, St. Albans, NY 11434 - DEP address)",https://bqlt.org/garden/merrick-marsden-neighbors-association-garden-2,,,,,,,,,-73.774894,40.686755
42,#NAME?,"Merrick-Marsden Neighbors Association Garden
","Merrick-Marsden Neighbors Association Garden
",Gardens,"Brooklyn Queens Land Trust member garden - Merrick-Marsden Neighbors Association Garden was developed by a local development corporation as a community beautification project in 1980. The garden is a large site with raised beds for vegetables, and also has many flowers and mature fruit trees. This garden is located across the street from an early childhood development center.","118-18 Merrick Boulevard, Queens, St. Albans, 11434",https://bqlt.org/garden/merrick-marsden-neighbors-association-garden,,,,,,,,,-73.774189,40.686157
43,#NAME?,"Patchen Avenue Garden
","Patchen Avenue Garden
",Gardens,"Brooklyn Queens Land Trust member garden - The Patchen Avenue United Block Association started this garden in 1981. A new group of gardeners began stewarding the garden in 1995, continuing the traditions started by the elders who founded the garden.","49 Patchen Avenue, Brooklyn, Bed-Stuy, NY 11221",https://bqlt.org/garden/patchen-avenue-garden,,,,,,,,,-73.927371,40.690718
44,#NAME?,"The People's Garden
","The People's Garden
",Gardens,"Brooklyn Queens Land Trust member garden - This garden started as the Green Avenue Block Association Garden, but was later renamed the People’s Garden. Known for its salsa dance parties and many other community events, the space has become a beloved gathering place created for and by the community.","1237-1241 Broadway, Brooklyn, Bushwick, NY 11221","Facebook: https://www.facebook.com/thepeoplesgardenbushwick/
Instagram: https://www.instagram.com/thepeoplesgardenbk/",,,,,,,,,-73.925651,40.691842
45,#NAME?,"Ralph-Lincoln Service Center Garden
","Ralph-Lincoln Service Center Garden
",Gardens,"Brooklyn Queens Land Trust member garden - The Ralph-Lincoln Service Center Garden was founded in 1984 by Robert Matthews and a group of community residents who were concerned about the blight in the then drug-infested northeastern part of Crown Heights. There were crack houses, open drug dealing on street corners, dilapidated and abandoned buildings, and trash cans overflowing with rubbish. Robert contacted the 77th Precinct Community Affairs Unit and solicited their involvement in cleaning up the area. The then head of the Community Affairs Unit, Sgt. Bullion, assigned P.O. Robert Manvella. Officer Manvella worked extremely hard along with community residents to keep the lot clean and to remove drug dealers from its corners. It was not an easy task, but with the help of the Community Board and the 77th Precinct, the community was gradually able to decrease the drug activity taking place near the lot. A gazebo was erected in the garden with the assistance of Officer Manvella, and grass and flowers were planted. In 2002, the garden began operating as an independent nonprofit organization, with the assistance of the Trust for Public Land, and was then transferred to BQLT. At that time, the garden received a new fence, the sidewalk was repaired, and a watering system was installed.","1654 St. John’s Place, Brooklyn, Crown Heights, NY 11233",https://bqlt.org/garden/ralph-lincoln-service-center-garden,,,,,,,,,-73.923008,40.669851
46,#NAME?,"Rogers/Tilden/Veronica Place Garden
","Rogers/Tilden/Veronica Place Garden
",Gardens,Brooklyn Queens Land Trust member garden,"2601-2603 Tilden Avenue, Brooklyn, East Flatbush, NY 11226",https://bqlt.org/garden/rogers-tilden-veronica-place-garden,,,,,,,,,-73.95256,40.646981
47,#NAME?,"Serenity Community Garden
","Serenity Community Garden
",Gardens,"Brooklyn Queens Land Trust member garden - Formerly known as Sunny Triangle Garden, this lot had fallen into disrepair when it was transferred to BQLT in 2017, thanks to the generous donation of a community member. The garden is currently being transformed into a welcoming green space with raised beds for gardening and a gazebo for social gatherings.","4402 Avenue L, Brooklyn, Flatlands NY 11234","Website: https://serenitycommunitygarden.weebly.com/
Facebook: https://www.facebook.com/groups/501600760633205/",,,,,,,,,-73.932916,40.62302
48,#NAME?,"Sheffield Garden
","Sheffield Garden
",Gardens,"Brooklyn Queens Land Trust member garden - In 1990, members of the Sheffield South Block Association came together to turn this small corner lot in East New York into a thriving community farm. Over the years, Sheffield Garden has hosted countless weekend barbeques and holiday festivals, had regular visits from the children attending a nearby day care center, and witnessed countless dominoes and checker matches between local senior citizens.","673 Sheffield Avenue, Brooklyn, East New York, NY 11207",https://bqlt.org/garden/sheffield-garden,,,,,,,,,-73.892969,40.660699
49,#NAME?,"St. John's Pl. Renaissance Garden
","St. John's Pl. Renaissance Garden
",Gardens,"Brooklyn Queens Land Trust member garden.
- St. John’s Place Renaissance Garden is primarily used for children’s programming and as a playground and ecology learning center for a nearby daycare center.","1642 St. John’s Place, Brooklyn, Crown Heights, NY 11233",https://bqlt.org/garden/st-johns-place-renaissance-garden,,,,,,,,,-73.923421,40.66991
50,#NAME?,"St. Marks Ave./Prospect Heights Community Garden
","St. Marks Ave./Prospect Heights Community Garden
",Gardens,"Brooklyn Queens Land Trust member garden - The St. Marks Avenue/Prospect Heights Community Garden was founded in 1975 by The St. Marks Avenue Block Association. Neighbors were fed up with the neglected lot, where a house had burned down in the 1960s. The city left it unfenced and, by 1975, the lot had become a rubbish dump and rat colony. Neighbors began clearing out the lot, carting out load upon load of trash, and built raised beds to grow vegetables. The garden is completely organic and has become a sanctuary for many different types of butterflies and paying mantis. Neighbors often donate plants and visitors are sent home with flowers or herb bouquet.","207 St. Marks Avenue, Brooklyn, Prospect Heights, NY 11238",https://stmarksgarden.wordpress.com/about/,,,,,,,,,-73.968875,40.67881
51,#NAME?,"United Herkimer Garden Club
","United Herkimer Garden Club
",Gardens,"Brooklyn Queens Land Trust member garden - The United Herkimer Garden Club was established in 1981. Since then, the garden has served as a place to grow vegetables, pick peaches and blackberries, and hold summer barbecues. The garden has also served as a quiet refuge for community members to relax and work on homework.","97 Herkimer Street, Brooklyn, Bed-Stuy, NY 11216","https://bqlt.org/garden/united-herkimer
Instagram: https://www.instagram.com/uhgardenclub/",,,,,,,,,-73.950169,40.679886
52,#NAME?,Westbrook Memorial Garden,Westbrook Memorial Garden,Gardens,"Brooklyn Queens Land Trust member garden - Westbrook Memorial Garden beautifies the neighborhood and provides much needed open green space for our community. The gardeners work together to maintain the garden and provide a place for the community to spend valuable time learning about growing food and flowers. Our garden serves as a focal point to unify the community, helping to bring neighbors together.","1233 Pacific Street, Brooklyn, Crown Heights, 11216",https://bqlt.org/garden/westbrook-memorial-garden,,,,,,,,,-73.951544,40.677985
53,#NAME?,"Woodbine Street Block Assoc. Garden
","Woodbine Street Block Assoc. Garden
",Gardens,"Brooklyn Queens Land Trust member garden - Woodbine Street Block Association Garden was founded in 1979 by neighbors adamant about maintaining civility in a time of upheaval. Following the New York City blackout of 1977, the city left their block torn apart and streets virtually impassable for nearly three years. Neighbors had to fight for streetlights and for trees to be planted. Built on the ashes of two homes that were burned to the ground, the garden was quickly filled with beds of strawberries, collard greens, and peppers. The current crop of gardeners wish to thank the Block Association and garden elders for the opportunity to restore this garden to its former glory and to let it serve as a beautiful beacon of hope for the neighborhood.","146 Woodbine Street, Brookyln, Bushwick, NY 11221",Facebook: https://www.facebook.com/Woodbine-Street-Block-Association-Garden-112445888847576/,,,,,,,,,-73.91644,40.69256
54,#NAME?,138th Street Community Garden,138th Street Community Garden,Gardens,GreenThumb garden,"624-638 East 138th Street Bronx, NY",https://www.facebook.com/138th-Street-Community-Garden-223381227998653/,,,,,,,,,-73.915315,40.805716
55,#NAME?,Bainbridge Garden,Bainbridge Garden,Gardens,GreenThumb garden,"2980 Bainbridge Avenue Bronx, NY",https://www.facebook.com/bainbridgeavegarden/,,,,,,,,,-73.883937,40.870947
56,#NAME?,Bean Morris Garden,Bean Morris Garden,Gardens,GreenThumb garden,"2096 Morris Avenue Bronx, NY",https://www.facebook.com/bisselgardens/,,,,,,,,,-73.90427,40.854326
57,#NAME?,Bissel Gardens,Bissel Gardens,Gardens,GreenThumb garden - Bissel Gardens is a 2.5 acre community garden and four-block public path in the Wakefield section of the Bronx bringing people together.,"4510 Furman Avenue Bronx, NY",,,,,,,,,,-73.849415,40.899853
58,#NAME?,Black Joy Farm,Black Joy Farm,Gardens,"GreenThumb garden - Black Joy Farm, formerly know as Libertad Urban Farm is the result of a 7 year community led campaign to create a radical food-growing green space in the South Bronx. Since 2014, we have grown thousands of pounds of food. Housed our South Bronx Mobile Market Buying Club, hosted over 100 Summer Youth Employment, put on dozens of workshops such as family movie night, herbs as medicine, community workdays, team-building exercises, and thrown dope parties that center the radical joy of Black MaGes. ","972 Simpson Street Bronx, NY",https://www.theblackfeministproject.org/blackjoyfarm,,,,,,,,,-73.892648,40.822003
59,#NAME?,Bronx Sunshine Garden,Bronx Sunshine Garden,Gardens,GreenThumb garden,"1768 Bryant Avenue Bronx, NY",https://www.facebook.com/Bronx-Sunshine-Garden-Community-Garden-460877840942447/,,,,,,,,,-73.884678,40.836759
60,#NAME?,Bryant Hill Community Garden,Bryant Hill Community Garden,Gardens,GreenThumb garden,"901 Bryant Avenue Bronx, NY",,,,,,,,,,-73.887204,40.819896
61,#NAME?,Carpenter Avenue Community Garden,Carpenter Avenue Community Garden,Gardens,GreenThumb garden,"4501 Carpenter Avenue Bronx, NY",,,,,,,,,,-73.855648,40.901198
62,#NAME?,Centro Cultural Rincon Criollo,Centro Cultural Rincon Criollo,Gardens,GreenThumb garden,"749 Brook Avenue Bronx, NY",,,,,,,,,,-73.911997,40.820497
63,#NAME?,Claremont Neighborhood Garden,Claremont Neighborhood Garden,Gardens,GreenThumb garden,"1280 Teller Avenue Bronx, NY",,,,,,,,,,-73.910205,40.834057
64,#NAME?,College Avenue Garden,College Avenue Garden,Gardens,GreenThumb garden,"1420 College Avenue Bronx, NY",,,,,,,,,,-73.909987,40.838101
65,#NAME?,Concrete Dreams Community Garden,Concrete Dreams Community Garden,Gardens,GreenThumb garden,"745 Jennings Street Bronx, NY",,,,,,,,,,-73.898202,40.831971
66,#NAME?,Cook Community Farm,Cook Community Farm,Gardens,GreenThumb garden,"2173 Bathgate Avenue Bronx, NY",,,,,,,,,,-73.894135,40.852567
67,#NAME?,Courtland Avenue Association Garden,Courtland Avenue Association Garden,Gardens,GreenThumb garden,"364-366 East 158th Street Bronx, NY",,,,,,,,,,-73.916173,40.822717
68,#NAME?,Damiana Pizarro Community Garden,Damiana Pizarro Community Garden,Gardens,GreenThumb garden,"580 Crotona Park South Bronx, NY",,,,,,,,,,-73.900433,40.835042
69,#NAME?,Demera Santiago Garden,Demera Santiago Garden,Gardens,GreenThumb garden,"941 Avenue St. John Bronx, NY",,,,,,,,,,-73.902241,40.815257
70,#NAME?,Dred Scott Bird Sanctuary Garden,Dred Scott Bird Sanctuary Garden,Gardens,GreenThumb garden,"1304 Grant Ave. Bronx, NY",,,,,,,,,,-73.913507,40.836065
71,#NAME?,Eagle Slope,Eagle Slope,Gardens,GreenThumb garden,"586 Westchester Avenue Bronx, NY",,,,,,,,,,-73.9114,40.815737
72,#NAME?,El Batey Borincano,El Batey Borincano,Gardens,GreenThumb garden,"811-815 Eagle Avenue Bronx, NY",,,,,,,,,,-73.909298,40.8207
73,#NAME?,El Batey de Dona Provi,El Batey de Dona Provi,Gardens,GreenThumb garden,"504 East 178th Street Bronx, NY",,,,,,,,,,-73.896187,40.847831
